old_name,new_name
COLONIAS_COMMUNITIES_5757327923072199667,hud_colonias_communities_2019
Difficult_Development_Areas_1720598525776479459,hud_difficult_development_areas_2025
Low_Vacancy_Areas_Set_Aside_Tenant_Protection_Vouchers_1112059527349315872,hud_low_vacancy_areas_set_aside_tenant_protection_vouchers_2024-2025
ACS_5YR_CHAS_Estimate_Data_by_State_-6847073611027672322,hud_acs_5yr_chas_estimate_data_by_state_2016-2020
ACS_5YR_CHAS_Estimate_Data_by_County_-5814338864370706327,hud_acs_5yr_chas_estimate_data_by_county_2016-2020
Racially_or_Ethnically_Concentrated_Areas_of_Poverty_2020_7490428744628192711,hud_racially_or_ethnically_concentrated_areas_of_poverty_2017-2021
Racially_or_Ethnically_Concentrated_Areas_of_Poverty_2213119623117507676,hud_racially_or_ethnically_concentrated_areas_of_poverty_2017
MULTIFAMILY_PROPERTIES_ASSISTED_-6639254238495637277,hud_multifamily_properties_assisted_2025
Low_Poverty_Index_-3553359429218009186,hud_low_poverty_index_2020
Empowerment_Zones_and_Enterprise_Communities_6561743984968390554,hud_empowerment_zones_and_enterprise_communities_2014
Deteriorated_Paint_Index_State_-6517197273674752607,hud_deteriorated_paint_index_state_2009-2013